# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'permutation_mode': 'blocks', 'perform_inference_on_ko_level': False, 'class_file': './data/Sample_Class.txt', 'control_label': '0', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'number_of_shapley_orderings_per_taxa': '5', 'write_log': True, 'max_score_cutoff': '100', 'map_function_level': 'none', 'single_function_filter': None, 'output_pref': 'Pathway_Control', 'apply_inference': True, 'residual_mode': 'remove_residual', 'max_da_functions_cases_controls': None, 'functional_profile_already_corrected_with_musicc': True, 'map_function_file': None, 'number_of_permutations': '100', 'multiple_hypothesis_correction': 'FDR-0.05', 'score_to_compute': 'wilcoxon', 'case_label': '1', 'taxa_to_function_file': None, 'na_rep': 'NA', 'da_result_file': None, 'taxa_assessment_method': 'multi_taxa', 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'normalization_mode': 'scale_permuted'}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
ko00010	0.011010414491531699	0.010639850490877465	3.8962738593355657	9.768393014117236e-05	4.010176875636803	1.0	1.0	1.0	1.0	ko00010
ko00030	0.014085224538351275	0.01370304175209992	3.8962738593355657	9.768393014117236e-05	4.010176875636803	1.0	1.0	1.0	1.0	ko00030
ko00230	0.010294887057435982	0.01008264910204305	3.2931941306501886	0.0009905605454927746	3.0041189741690433	1.0	1.0	1.0	1.0	ko00230
ko00290	0.029421548548278945	0.02835521723219786	4.049171177896219	5.139934043634181e-05	4.289042453897625	1.0	1.0	1.0	1.0	ko00290
ko00312	0.0022623681865558366	0.002025042564739132	3.6687121410469095	0.00024377536821153307	3.613010178907315	1.0	1.0	1.0	1.0	ko00312
ko00550	0.02170815046247305	0.020935751882150057	3.465032050612431	0.0005301682914888974	3.275586250279271	1.0	1.0	1.0	1.0	ko00550
ko00620	0.012830003706962322	0.012378967234658641	4.889694677775428	1.0099249995641777e-06	5.995710877192458	1.0	1.0	1.0	1.0	ko00620
ko00680	0.004454307529550898	0.00424522864002617	4.148540709887164	3.3460135119948665e-05	4.475472309586128	1.0	1.0	1.0	1.0	ko00680
ko00970	0.023650478147737228	0.022263072991026072	4.69534763730695	2.661536909779978e-06	5.574867506721126	1.0	1.0	1.0	1.0	ko00970
ko01051	0.04375348289245673	0.04201746077578492	4.067288274889043	4.756338977125405e-05	4.32272720143581	1.0	1.0	1.0	1.0	ko01051
ko03015	1.009732678707224e-05	2.2517862271717142e-06	3.1267089893449174	0.0017677481248181976	2.7525796147721624	1.0	1.0	1.0	1.0	ko03015
ko03070	0.009260863035069254	0.008738135605937298	4.328064670997876	1.5042530473369593e-05	4.822679100035552	1.0	1.0	1.0	1.0	ko03070
ko03420	0.015037300070998794	0.014564871298754988	3.5737346325693764	0.0003519255995187448	3.453549140879041	1.0	1.0	1.0	1.0	ko03420
ko03430	0.02248889585826544	0.021537680476791367	3.979447804620804	6.907552300261707e-05	4.160675818155342	1.0	1.0	1.0	1.0	ko03430
ko04122	0.006998326972561587	0.006387588498495698	4.535862283476179	5.73686075072541e-06	5.241325691502517	1.0	1.0	1.0	1.0	ko04122
