# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'permutation_mode': 'blocks', 'perform_inference_on_ko_level': False, 'class_file': './data/Sample_Class.txt', 'control_label': '0', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'number_of_shapley_orderings_per_taxa': '5', 'write_log': True, 'max_score_cutoff': '100', 'map_function_level': 'none', 'single_function_filter': None, 'output_pref': 'Pathway_Control', 'apply_inference': True, 'residual_mode': 'remove_residual', 'max_da_functions_cases_controls': None, 'functional_profile_already_corrected_with_musicc': True, 'map_function_file': None, 'number_of_permutations': '100', 'multiple_hypothesis_correction': 'FDR-0.05', 'score_to_compute': 'wilcoxon', 'case_label': '1', 'taxa_to_function_file': None, 'na_rep': 'NA', 'da_result_file': None, 'taxa_assessment_method': 'multi_taxa', 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'normalization_mode': 'scale_permuted'}
Taxa	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
s__Akkermansia_muciniphila	0.044318222820046396	0.025252027785844806	5.348249382722593	8.880904167679126e-08	7.05154281631105	1.0	1.0	1.0	1.0	s__Akkermansia_muciniphila
s__Alistipes_indistinctus	0.0038580787329597585	0.002538702734879978	2.2465200271102064	0.024670718220330314	1.6078182070329285	0.0	0.0	1.0	1.0	s__Alistipes_indistinctus
s__Alistipes_putredinis	0.14580274011737443	0.1486787105260351	0.7241348767737933	0.46898293463087537	0.3288429601217694	0.0	0.0	0.0	0.0	s__Alistipes_putredinis
s__Alistipes_shahii	0.008219413607434048	0.007903170807994728	1.888021107827957	0.05902311681159941	1.2289778606046422	0.0	0.0	0.0	1.0	s__Alistipes_shahii
s__Allisonella_histaminiformans	0.000459792334409909	0.0021081844090043334	-3.1247874790577996	0.0017793356111168758	-2.7497421293137765	0.0	1.0	1.0	1.0	s__Allisonella_histaminiformans
s__Anaeromassilibacillus_sp_An250	0.0013977216253451693	0.0008920045893086725	2.5987054125919262	0.009357603973533005	2.028835338685271	0.0	0.0	1.0	1.0	s__Anaeromassilibacillus_sp_An250
s__Bacteroides_cellulosilyticus	0.02050646580985951	0.015651070970534715	2.750230223804638	0.005955340686214501	2.2250933888561275	0.0	0.0	1.0	1.0	s__Bacteroides_cellulosilyticus
s__Bacteroides_eggerthii	0.029564148059796392	0.019557038229312703	2.0969167261846122	0.03600094761187944	1.4436860676439933	0.0	0.0	0.0	1.0	s__Bacteroides_eggerthii
s__Bacteroides_intestinalis	0.014452999759862086	0.005203557861916006	2.5056494144015105	0.01222267444431925	1.912833755686985	0.0	0.0	1.0	1.0	s__Bacteroides_intestinalis
s__Bacteroides_uniformis	0.25632978806694945	0.27412810520430275	-0.5333563554099622	0.5937869235470314	-0.22636937072431038	0.0	0.0	0.0	0.0	s__Bacteroides_uniformis
s__Barnesiella_intestinihominis	0.03942309342466414	0.040915872475088044	2.093348207079965	0.03631808224427098	1.4398770922192343	0.0	0.0	0.0	1.0	s__Barnesiella_intestinihominis
s__Blautia_sp_CAG_257	0.0018105935947042154	0.005835026152205977	-1.0157926882113049	0.30972811862174465	-0.5090193654926671	0.0	0.0	0.0	0.0	s__Blautia_sp_CAG_257
