Taxa	ko00010	ko00030	ko00230	ko00290	ko00312	ko00550	ko00620	ko00680	ko00970	ko01051	ko03015	ko03070	ko03420	ko03430	ko04122
s__Akkermansia_muciniphila	0.9012615250501024	0.9246342694106583	0.4093795262952359	0.829184477635449	0.5443730143894372	0.7258037049389054	0.9214655370617192	1.0936145586894945	0.5156587529706627	1.0275702089564844	-0.22048485924769445	0.7320552999462973	0.32068176682197536	0.3632463870062821	0.9401576794408346
s__Alistipes_indistinctus	-0.20005244793638166	-0.2461827718256474	-0.20372865607909807	-0.1867250496629113	-0.07975534621398188	-0.18611270023075288	-0.20058737387711773	-0.15744911600636385	-0.10624966497870178	-0.1902196645257463	-0.011419964984793063	-0.11343456498269361	-0.1547343668571283	-0.14213826865263784	-0.10978510313701399
s__Alistipes_putredinis	-0.059545703402988766	-0.028932454894601126	-0.022013610161133294	-0.011639566160463652	0.032598105288487264	-0.048115180669365404	-0.018687215429661373	-0.010436686643729532	0.021078193614767197	-0.03162327314648798	0.17025460956265553	0.005017042244166726	0.02323690132560607	0.0026964490512630134	-0.017504747560665845
s__Alistipes_shahii	-0.015633210618011643	-0.00597075888850537	0.06566990157449475	0.030357750986693965	0.0015259466309418407	0.04074376043603797	0.004199168634778143	0.03276491772000627	0.062320983645518135	0.025349858791513514	0.0010191746870866223	0.04548067041124025	0.08491386229247486	0.05738488414238386	0.020485551980425412
s__Allisonella_histaminiformans	0.36543465641384576	0.40883826570520165	0.4324489113394009	0.3308939253405802	0.11180796781290275	0.3170210433775434	0.4128164254644652	0.316907019690176	0.24602722099288074	0.3313021582953524	0.046011021327483186	0.2258612168770529	0.3052920882769831	0.2798549520951389	0.22485893458809483
s__Anaeromassilibacillus_sp_An250	-0.09519781350312578	-0.11556934179618374	-0.11297424713369181	-0.08764057689038474	-0.026105089757842204	-0.0771694016004762	-0.12203561102979198	-0.0745292605429749	-0.05533245776977022	-0.08023396416095627	-0.006407849690080524	-0.052650085716947626	-0.07785424757460277	-0.06644272878887396	-0.04624505142655522
s__Bacteroides_cellulosilyticus	0.11369217405415336	0.054834835874901254	0.12764670260814456	0.021879878675949295	0.017774322080799945	-0.07895225345295576	0.05552672034824804	-0.007379866432391693	0.10275997706532092	-0.05901288901201879	-0.05230519925515727	0.09228246712611417	0.15812199653181602	0.16710171383696182	0.04920966729810829
s__Bacteroides_eggerthii	0.10441965518144682	0.08387638750741568	0.014961033942481432	0.0992519890539676	0.06571142871989401	-0.04824468905501729	0.20877033307053555	0.16112884339869035	0.02283992996958611	0.05317797315846351	-0.10922202319939706	0.05156404528726901	-0.043343782047984045	-0.04407648981680809	0.13605137452699903
s__Bacteroides_intestinalis	0.27212667995134676	0.2756691566088792	0.03998923331963128	-0.28489381368688826	-0.17434996033393552	-0.3848200909661521	0.26960971263019917	0.061338409154376626	0.07234028728548914	-0.2859284730722594	-0.09147128009098483	0.17483350523036412	0.20579727099991824	0.1753149385770265	0.016330022040812558
s__Bacteroides_uniformis	0.22986260368374317	0.1664675450572208	0.37091835115631255	0.42749803098790423	0.3928967688213448	0.4560095836291367	-0.056315736110833736	0.08854924713971402	0.3298909392017	0.2899594215756745	-0.03597165796473468	0.3261049304711483	0.30965947704312424	0.3156605014782765	0.22407625347480736
