KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ko00010	0.3314039126947096	0.5796253455775127	1.6307683584842544e-78	0.5790928626093415	2.433473422308895e-78	0.000777730246645162	0.0006709204874654249
ko00030	0.3096769026266015	0.5628254955143146	3.517190521794355e-73	0.4754413868801059	8.009997867703329e-50	0.0009331786105093683	0.0007665439244729843
ko00230	0.30257909620947765	0.5546218661898066	1.1003122576570483e-70	0.5812527585933523	4.7765840243629693e-79	0.0005985753145941407	0.0005264047385096675
ko00290	0.3817826228564952	0.621323859631962	3.4647088798968096e-93	0.6078693431266105	3.2581122521767093e-88	0.0019631982720045107	0.0016288941337847787
ko00312	0.21334855336072212	0.4619717540002889	8.670750694294018e-47	0.4573784342239313	8.754714113608662e-46	0.0009318552827013109	0.0010846323103236681
ko00550	0.30290353582724994	0.5513167383853808	1.0650408690279462e-69	0.5739407935948897	1.126591493833655e-76	0.0018935482766429346	0.0018436365763821994
ko00620	0.23837469767133523	0.5001188562297434	9.566133956821558e-56	0.4850860807589015	4.428077215339295e-52	0.0007895922599345939	0.0007317075987997321
ko00680	0.4588395769780197	0.6782713432692408	3.265122053906713e-117	0.5577972455794614	1.2131124706567566e-71	0.000360931942891025	0.00032146953128637964
ko00970	0.43228111833837546	0.6577252238590492	6.13001192353101e-108	0.6829140986500757	2.052781829487336e-119	0.002269062545411835	0.002064945015078721
ko01051	0.21204152091659612	0.46245776885313994	6.774963171273367e-47	0.4533571459906173	6.440045266802563e-45	0.004783946587663005	0.0041974026951188195
ko03015	0.4632479037506969	0.6808262884402217	2.029662311944106e-118	0.41911967270390943	5.436754874119168e-38	5.722042623538323e-06	1.8238377962727797e-05
ko03070	0.37757403250849586	0.6146919934303232	1.0497920606556644e-90	0.6712296580950325	5.976558654074587e-114	0.0010285133006293229	0.0009639252870815668
ko03420	0.29411866388271224	0.5428963009826527	3.0887588416694244e-67	0.5572699975178573	1.7523535420872244e-71	0.0014230845221172	0.001399491239068266
ko03430	0.35030187980413485	0.5921331225818862	1.0846202553317332e-82	0.6278685729195245	1.0756490524827333e-95	0.002136606583571027	0.0021273303202716857
ko04122	0.2887543287931169	0.5374960031121365	1.0780447438416691e-65	0.48658049983479706	1.9495789653199638e-52	0.0011895705684530618	0.0009711450303876119
