Taxa	ko00010	ko00030	ko00230	ko00290	ko00312	ko00550	ko00620	ko00680	ko00970	ko01051	ko03015	ko03070	ko03420	ko03430	ko04122
s__Akkermansia_muciniphila	0.2279361132457784	0.23298165518666938	0.12160647304456318	0.2122975796084679	0.1462673111370384	0.17334352073813772	0.22471315858032634	0.2534014029229408	0.14358942322661505	0.2494569932408308	0.05486002821520796	0.18181491993427404	0.10855218610276873	0.11166327489944085	0.22152333494866425
s__Alistipes_indistinctus	0.11011812035684597	0.1269266245640531	0.14610367587000164	0.11828014914540487	0.041433559460587584	0.11934476471471642	0.12653560797563326	0.09488551909291293	0.08695116728344278	0.11025136862995649	0.00827617496512544	0.07620568000143269	0.11607597334213314	0.10044981812528642	0.06724645862145721
s__Alistipes_putredinis	0.14989835024556347	0.12129056462730012	0.16040631614565332	0.15666306821844664	0.22194172097923104	0.2045202659333497	0.14881467865835715	0.21406785754600233	0.16813884353738756	0.19798557088782295	0.4518065269531992	0.16514048411635646	0.15155278221275137	0.16108801747510573	0.14614098893834765
s__Alistipes_shahii	0.13818332385642323	0.16989751099417078	0.16216520261290165	0.1316448944557701	0.047930568981295586	0.1281735805743453	0.16321888444620947	0.1372437465451043	0.09718586330032038	0.14069709462303107	0.011673978996546631	0.08907479869385329	0.12331921735811815	0.1125580056286589	0.09268648816200421
s__Allisonella_histaminiformans	0.08297858890394295	0.09734290703683461	0.08865062349360706	0.07658916138734036	0.02718736961553002	0.0728624706195012	0.09562919822755907	0.07371275480229256	0.05557455726312436	0.07682933684827876	0.009159071576483631	0.051012478837998594	0.06825708549081022	0.06215455764223463	0.05368413012735643
s__Anaeromassilibacillus_sp_An250	0.05891285662889569	0.06970031622465403	0.07768884417623484	0.055351045617282796	0.01879751990097671	0.054181700399298344	0.07822966055056113	0.04613586808825275	0.04270665130675103	0.05149187990187875	0.004171205802029755	0.03943820078601824	0.05800144093603376	0.050642591216184404	0.03058047015128931
s__Bacteroides_cellulosilyticus	0.09549226398824821	0.0648335844187328	0.09532961454151243	0.04289771857014424	0.04307359544865997	0.07937407320775368	0.07733926672121332	0.040295076370571906	0.09082915384076876	0.07629455008057798	0.049236695775679254	0.0891955656386813	0.14355760101194898	0.15092157617965762	0.068314502203278
s__Bacteroides_eggerthii	0.07359265589364779	0.06164000596770667	0.0636732162185462	0.06283603600644602	0.06512648722623048	0.05912690479086074	0.10555692123014639	0.08458751628770032	0.06579811122464609	0.055858682718828115	0.07164680055248075	0.07085942538044229	0.06479979818048688	0.06277212483924337	0.07921381443249374
s__Bacteroides_intestinalis	0.09313026455471386	0.09257420236389217	0.042066044390984846	0.07245976502477969	0.0551394830939796	0.09456085278849141	0.08941696882769441	0.03307159282391743	0.046917780265499406	0.07148348887241142	0.03373964185282011	0.06851548844642952	0.07881992257161732	0.07164663682875852	0.02619161546737184
s__Bacteroides_uniformis	0.27624170073813353	0.2236987512844152	0.39329329154840575	0.42743802806233383	0.355532517137549	0.45033312431843064	0.18379910725701598	0.1626758566748142	0.355442256356104	0.24676727065819726	0.16972855340172663	0.3066947246364816	0.3419055457081673	0.3396724860524269	0.24665969159550732
s__Barnesiella_intestinihominis	0.1576990519585939	0.07025622198294833	0.23227887264329633	0.10553872587792935	0.07877186172407027	0.061022965954720336	0.0867632282352637	0.07006541327905065	0.21394484797813706	0.0803429570107364	0.05483785798769688	0.27785643104913826	0.24877179574438613	0.22716147154674263	0.09809410796076408
s__Blautia_sp_CAG_257	0.025679462752858262	0.08517232269026441	0.11903532606057057	0.052118742944258084	0.1081695572159842	0.0454550955239685	0.023242690944676778	0.08679055059751603	0.02329983839156349	0.05345169069639605	0.017230390323014676	0.022767629025115282	0.1817068284761614	0.06317120300181552	0.08070182047130292
s__Blautia_wexlerae	0.19303181622418017	0.24809499731494258	0.12478098641873836	0.18431034973646046	0.2873218413860627	0.1788400118389252	0.14638108753445594	0.1920282416768242	0.12197098205567894	0.20756752942864637	0.059847660278836846	0.15700975761273722	0.1123428283919205	0.1573157024552291	0.17873741763899012
s__Butyricimonas_synergistica	0.07213333898953742	0.08429018952624046	0.08164370837492084	0.06678291090586401	0.02362615469051382	0.06259307102765829	0.0858890417366665	0.06637594871642336	0.04747754950538377	0.06747586094984007	0.0077571627723278915	0.04326055016117006	0.06225154187594328	0.054646265330001366	0.04365295828178116
s__Collinsella_intestinalis	0.07151626284865906	0.0954749291596142	0.052108443627686366	0.054875738542824536	0.0428752588961228	0.055193814155927605	0.040394111523162766	0.06907795242660936	0.040867152167022046	0.08735151003902919	0.028901819047208722	0.045587501486897844	0.045013242093749815	0.04015109478389402	0.0880998399435409
s__Collinsella_stercoris	0.08959193520088245	0.09568617712301335	0.09980599708555053	0.08276146870302631	0.034011591864850525	0.07817904096832462	0.10263254169036713	0.07579433915061927	0.06433465811962893	0.07889666399219152	0.01087564513283595	0.05811375975945867	0.07835557946425106	0.07091038251732298	0.05808143835611902
s__Coprobacter_fastidiosus	0.024885289230978044	0.021936828418080798	0.05854575167956823	0.030191454905180052	0.021884818595452372	0.06235519788412775	0.026263010552034963	0.027511866874434274	0.032717566970839135	0.04230638971203309	0.02589879541633532	0.030302477446725956	0.10075420563822149	0.028066573484207224	0.09704413434447141
s__Coprobacter_secundus	0.058131183279579536	0.06961427963758057	0.06466240000213382	0.05114951164749524	0.019191694649137614	0.046499530088649293	0.07158645405643987	0.05469267812114835	0.03854811476431016	0.05302770950221357	0.0060734114964342235	0.03613120747543551	0.04855943539943173	0.04368696572804646	0.03502975388010249
s__Coprococcus_eutactus	0.1832826157506927	0.14196684967477008	0.20020116749275993	0.14697009063496067	0.18906809542311193	0.15811350879314257	0.0916912866491956	0.10442073635278941	0.19506345683061135	0.19038028782582733	0.08897713589442305	0.17169310356002834	0.19917745776759338	0.19085322495740237	0.1305291207317525
s__Eisenbergiella_tayi	0.04871929679169089	0.019099767215490858	0.019667944196406415	0.08242658835218616	0.060888408531480344	0.03469489968439805	0.07074055497953721	0.020792604950423167	0.021162545702523107	0.014113633902357103	0.017563583662414606	0.043877881104539225	0.06728271470678755	0.0406709508420794	0.10791738495310756
s__Eubacterium_eligens	0.1099041542585124	0.11301807222619696	0.1263166001470265	0.13400565325041816	0.10498475220113951	0.11488808119981712	0.1324846300277699	0.23336447233872026	0.12015846737042897	0.16931616503282076	0.1219881239132855	0.11761324262383357	0.1078485217520612	0.11194503332306516	0.1689498447467871
s__Eubacterium_siraeum	0.1932275896804193	0.1406502875355983	0.1866698614745019	0.20588145011776296	0.1403521183854347	0.12281344633213949	0.18326715077077604	0.06256413155667397	0.1900806073048251	0.18276001113995002	0.05355904263662346	0.18673548563221692	0.18629194528153592	0.20962412006538916	0.21583828983889403
s__Eubacterium_sp_CAG_274	0.049154727409899915	0.03951289188936212	0.0677015401012672	0.10175108614199818	0.08131272898933026	0.09693011885504912	0.0465560593139887	0.07297415312085914	0.054663896886284875	0.07901540975199375	0.042153469213068465	0.05039746397053798	0.04332517752239677	0.04403860541432493	0.08242895286341154
s__Firmicutes_bacterium_CAG_110	0.10445472535266716	0.2079088236475945	0.09301966295590737	0.12640214617937626	0.10345452739453345	0.09911144829350939	0.16606400262092968	0.09922224562170026	0.08972716283751359	0.16910493588615727	0.019737938503005214	0.07118264293184003	0.044549639834795915	0.06208398925908407	0.12948823842677884
s__Firmicutes_bacterium_CAG_170	0.0678144270026027	0.06348262664170078	0.10794081524772323	0.063079422084542	0.04574324793032962	0.05370860408817106	0.056475602583051135	0.052561372548502405	0.08264328691537154	0.1520163590172395	0.013166484170758915	0.07315467803872368	0.08471945422950246	0.05113817035135883	0.030567825912764083
s__Firmicutes_bacterium_CAG_238	0.037330138605092635	0.20405916397695592	0.09766730655659421	0.058580072099000624	0.06259345513542101	0.08783121682851423	0.2197395096009612	0.14918546073665734	0.10567903270290906	0.05562792281310095	0.011457888117350736	0.09292116773435177	0.14636787229104614	0.15211088369486514	0.04104495353457719
s__Firmicutes_bacterium_CAG_95	0.17845649558892082	0.20116703895456375	0.06908485292493376	0.16342748200653318	0.05859335319847034	0.054728590387675954	0.19929022156579365	0.1533103057149636	0.08580792649826342	0.16018283254019583	0.013859001245065578	0.062006178415536815	0.09899997519580103	0.09319461251934912	0.10434332639486261
s__Gemella_sanguinis	0.03572451267671348	0.039691497669185616	0.0463167865648543	0.03498051918031083	0.017162769250509143	0.03452779207688338	0.042314913349696004	0.03365935163131775	0.030994965377705457	0.03558149939927473	0.0070499687039603885	0.028911651518925836	0.03946810766481356	0.0351147813561024	0.026638310369504106
s__Intestinimonas_butyriciproducens	0.04929826207259321	0.056081460834473296	0.05580933797152304	0.046516688798264795	0.017593857260899414	0.04479975937158583	0.05734581624375002	0.039666397078656636	0.033801744599672515	0.04427646592144093	0.00748383149555939	0.03128268157826151	0.042433567326055036	0.03957962692751016	0.029660587989797208
s__Lawsonibacter_asaccharolyticus	0.06536861669546923	0.07564175829864576	0.0771794720292311	0.06115671910082761	0.02138572569395989	0.05729951664117938	0.0821823133055654	0.05863526341237743	0.04551100552611427	0.059283203607945006	0.0057074735258640244	0.04092277141535733	0.05835261976333263	0.05183393750974332	0.03835624073341767
s__Megamonas_hypermegale	0.08081368691282585	0.131312545629691	0.04056666589376586	0.05366437558265302	0.040993153549772426	0.03582160702153596	0.08951469308435635	0.042307221137086085	0.053704507075886906	0.12564559636065403	0.03255319531516753	0.04346339065404948	0.04145420456673938	0.06914937742629283	0.0432347522335789
s__Methanobrevibacter_smithii	0.25637706397625565	0.1995347282305345	0.1568618817373	0.21934590330495415	0.20106483888437932	0.20232386391947185	0.25851460104974916	0.38372928323372385	0.18649381572247148	0.22999025031843953	0.6944559803746417	0.17051358897750435	0.13366681082024923	0.1581015058079578	0.23633604023775118
s__Oscillibacter_sp_57_20	0.22332132043467792	0.2103482321396441	0.04325079297598238	0.03400140815665195	0.13501633040963015	0.1346316539071087	0.23736510823725387	0.20841546049580062	0.08078255332414752	0.1704987719674649	0.033831957115913656	0.13319004300363385	0.03826969758416892	0.077057877858529	0.22940850232573473
s__Oscillibacter_sp_CAG_241	0.09768429887918825	0.0840428669703701	0.0707687013849024	0.041415703427280244	0.12204826723106718	0.08161082462170458	0.08275574321300794	0.11725059314583429	0.07752882802863967	0.05762379027867789	0.019509634093125176	0.08475365187355033	0.025492556716371583	0.05997982742585166	0.06646635192876744
s__Roseburia_hominis	0.03302366929848438	0.08334750303943247	0.05426145427337992	0.11437322295974184	0.0878373657727299	0.11774137776510343	0.051219460012041626	0.04836618570409606	0.05257449616293268	0.09183100300051565	0.03476402532201201	0.04096525196951759	0.12660595572610536	0.04891107990495741	0.10705437346658228
s__Roseburia_sp_CAG_309	0.07724837105811236	0.08378570194922788	0.08594969351918379	0.06641694966127033	0.11002604871374641	0.06018799351639434	0.08413559722779859	0.06250950462074058	0.05710607007898202	0.06475743057891552	0.006968266348024814	0.0536612782585889	0.07092121419062009	0.0640916974334373	0.0496752227199838
