Taxa	ko00010	ko00030	ko00230	ko00290	ko00312	ko00550	ko00620	ko00680	ko00970	ko01051	ko03015	ko03070	ko03420	ko03430	ko04122
s__Akkermansia_muciniphila	0.8750305306182091	0.8995347700364076	0.4067935394507348	0.8228718869938143	0.5308448077332143	0.7452456304859532	0.8957873041275859	1.041690043703162	0.5307507874606305	0.9920202697110283	-0.2193158137967119	0.7417466095226064	0.3285171649238992	0.36674353572883633	0.9127586742173444
s__Alistipes_indistinctus	-0.19472186870595143	-0.23202285986441049	-0.21194893339538148	-0.18420050891660275	-0.0753228794840506	-0.17714207666659962	-0.1908394184590843	-0.15585982288244002	-0.11609202074827663	-0.18414310291696268	-0.010197750710701009	-0.11304380158298594	-0.15784735429224336	-0.14512998274618877	-0.11225360335253123
s__Alistipes_putredinis	-0.05519554488293866	-0.024620796965285567	-0.013198171427787266	0.001847211889349167	0.03161260278167013	-0.03702295636226225	-0.024894411583972088	-0.011280799778211038	0.03181032830176431	-0.020274171771843996	0.1689485808398491	0.036500939029096055	0.030278933872426042	0.02745093527073726	-0.01706926153691291
s__Alistipes_shahii	-0.017075863649181483	-0.007582012129996164	0.04059523402549306	0.027041660618080426	0.0020784406657315597	0.03969788168290986	0.004915856779376962	0.03662043866885683	0.051758603482714056	0.018250659554026962	0.0016343324804338774	0.04043546009319425	0.05797697677378648	0.04454605625378524	0.013972378188013666
s__Allisonella_histaminiformans	0.36090953488017957	0.4018536532350202	0.43293797441921805	0.332996634751623	0.11081963582939908	0.3184248016620223	0.41012963323413243	0.30865872914699627	0.24385447851459677	0.32173079882275407	0.046987570863292236	0.22484575851755464	0.30454559912668583	0.2757598124788355	0.21878970709549872
s__Anaeromassilibacillus_sp_An250	-0.0973128121338071	-0.11593204973799968	-0.11910310479168155	-0.09026757003134273	-0.027304168484997435	-0.08475199088740842	-0.1251947850967901	-0.07769768319794838	-0.062019651416902424	-0.08584150833570182	-0.006144060816305408	-0.05670420495979569	-0.0841854902391705	-0.07344400842520896	-0.05020453100888829
s__Bacteroides_cellulosilyticus	0.12226645972721646	0.06054391743939762	0.13683252124745648	0.01729062233738858	0.013076053466316608	-0.07519772089091677	0.06765601120745554	-0.008206594473799293	0.11817745768223302	-0.05413830599206913	-0.05501660511726323	0.10537372375074644	0.17308557841101518	0.18931632945882587	0.04964725079462881
s__Bacteroides_eggerthii	0.10537161220098039	0.08569396731504776	0.019519757271424874	0.09016347062787576	0.06617468866156988	-0.051395416922951194	0.21161376006251506	0.16608693117338855	0.031232720901756873	0.052157587849511015	-0.11794619371335456	0.05382958333927221	-0.03442446914314616	-0.043009678566999054	0.13043891747979772
s__Bacteroides_intestinalis	0.2713946901094431	0.2766230844081944	0.037493831960094405	-0.28099655443766186	-0.1718850075220253	-0.3852441746211684	0.2768647160864243	0.06377719282618612	0.0735378175428159	-0.2825068474463379	-0.09282217924632002	0.17614411601616267	0.20367416401813532	0.17564193317379906	0.01607261004733099
s__Bacteroides_uniformis	0.24421339974383233	0.17349614814752864	0.3743102883925231	0.4374824236717427	0.38801296536741675	0.4538979212470857	-0.0465133027088359	0.09213087192990926	0.3580187810194434	0.2745756272160303	-0.029477445889222142	0.30055651561663266	0.30152115601176116	0.3216992804232461	0.23349097818575898
s__Barnesiella_intestinihominis	-0.049928847071431026	-0.03545634128282604	-0.028470475959783317	-0.04274514361230664	-0.02654392610722396	-0.03646950509157859	-0.058077669543630826	0.010216367541138456	-0.02545911037640966	-0.04719068787378907	0.016999798588108666	0.026466192921835944	-0.0403452406101896	-0.04220489656616008	0.03622532547663102
s__Blautia_sp_CAG_257	-0.07516858150414514	-0.24560082871012032	-0.27020198826258146	-0.12602538431276886	-0.29897000973840004	-0.094415540622793	-0.06506187378085754	-0.25457642145472303	0.0218230920642406	-0.15724394375409473	0.0781646876212094	0.037767193192808995	-0.418472971670782	-0.11613567352044035	-0.25763127088627924
s__Blautia_wexlerae	-0.31486889554797787	-0.4749032100869297	-0.11579938810469717	-0.23421439513561232	-0.6291613380098204	-0.1955623922058306	-0.1862058477294331	-0.30789522090558447	-0.04673462127831626	-0.31455922973628536	0.09363265539302816	-0.08432787907839533	-0.07822758365024125	-0.10708405090726095	-0.2980969683721235
s__Butyricimonas_synergistica	-0.049239763920773914	-0.06554313820353874	-0.04394543296132774	-0.04099558386113868	-0.01251467684551098	-0.040477325086556076	-0.050217101768495594	-0.041162579293637425	-0.018220548854362934	-0.041405576440716	0.0011517025889039771	-0.014180393993967786	-0.023779752616464075	-0.02439508637229183	-0.029581474907696834
s__Collinsella_intestinalis	-0.10461060966529115	-0.17941383675191358	-0.020032920172572032	-0.05135480478245055	-0.022388241320628267	-0.04057175359209444	-0.04477843934403974	-0.13695532898185075	0.030201158456042685	-0.14986969404408065	0.04515796929899197	0.07524358375183572	-0.0012854833435825353	0.028044787526944948	-0.16072607231931302
s__Collinsella_stercoris	0.15272338316792328	0.17077110871243303	0.19087337217932263	0.15058048392633297	0.04844021856335475	0.14060372097564897	0.17766206691199038	0.13692939915072347	0.11657263762902956	0.14968118895796503	0.013057133980412684	0.11387672350370731	0.1349213997851878	0.12302124022959511	0.10224981256484159
s__Coprobacter_fastidiosus	-0.011417473356069104	-0.014550182665999249	0.00229771807043803	-0.027972333215972103	-0.022928474289776374	-0.04805148225142245	-0.010272070223967214	-0.007000477247423863	-0.03489069933149299	-0.01637747560255522	-0.01587463114126488	-0.024131001881549496	0.044731112475283066	-0.03190364472442588	-0.04263248539378794
s__Coprobacter_secundus	-0.023002209607607297	-0.031568682546536	-0.01585398018455277	-0.013239177724244232	-0.0067367306046440915	-0.011269552256457148	-0.018818821288080875	-0.022103182102209722	-0.013935172681135645	-0.017942049517217583	0.0029206956364189376	-0.010910701412213866	-0.0219445202527877	-0.016355684408969454	-0.011010648101140871
s__Coprococcus_eutactus	0.07235796799553029	0.0742377540592706	0.04603299552204869	0.04987024452692358	0.0033352632404893916	0.042667748274881206	0.09614453387923953	0.11245566458814504	0.03222495221382852	0.07306657594302433	0.020717885801185356	0.04603741569955897	0.04455153220617859	0.040285399289819335	0.06246482241558241
s__Eisenbergiella_tayi	0.06174398155644365	-0.008740577255639845	-0.0026619181740886394	0.13073667415080958	0.09486630018985386	0.03629983502937619	0.09611553526245226	0.0024176259431535375	0.002578807575296378	-0.023856641181945665	0.027264203886425073	-0.07178587877891152	-0.09784652745267733	-0.06533381323672967	0.16929895029253206
s__Eubacterium_eligens	-0.028576053448086506	-0.011374425894838287	0.030466242413674304	0.013875204667779419	-0.005122352269499513	0.023508756319487505	-0.024498383386847667	-0.04074442205496469	0.02460182117138787	-0.0029238770380664693	0.05137332307389895	0.018877156369617995	0.013724651169459099	0.019259909957213092	-0.014078645449240413
s__Eubacterium_siraeum	0.32460646214116223	0.2511503052662991	0.36309431319213026	0.37714039854397774	0.2067331943182281	0.23243166997611872	0.37134159019142227	0.09618700418353426	0.3654599527800431	0.29204963061210226	-0.06729099463789542	0.3554062871868793	0.35855566366296265	0.4029780112544536	0.3372340646681622
