Taxa	ko00010	ko00030	ko00230	ko00290	ko00312	ko00550	ko00620	ko00680	ko00970	ko01051	ko03015	ko03070	ko03420	ko03430	ko04122
s__Akkermansia_muciniphila	0.013521484996130102	0.016947375142727313	0.01096931933665102	0.03575446849983031	0.003165197814578602	0.02610585539840739	0.015198169015231808	0.005844025418921302	0.027378456358447153	0.056634316096675595	0.0	0.011788984184819315	0.016013043757118484	0.024367911340650507	0.010144432133219087
s__Alistipes_indistinctus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_putredinis	0.010212754349163567	0.01348152547109085	0.009993295336273945	0.028524109135931324	0.0012885105252516168	0.02198039787672893	0.012053966844518859	0.00452283331148564	0.02177963244061462	0.043516661503887825	4.219199267764021e-06	0.00823641968968615	0.014051121640374597	0.02084078792680653	0.006399767015759875
s__Alistipes_shahii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Allisonella_histaminiformans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaeromassilibacillus_sp_An250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_cellulosilyticus	0.011970833225841991	0.014298660047301863	0.011293152949817668	0.028765910166411394	0.0019760684477533458	0.019209688906137244	0.013236634549187639	0.004186555564693897	0.027183998786020867	0.038432036942022414	0.0	0.010820289564280288	0.018800705329526886	0.029146569740721023	0.007093925940804765
s__Bacteroides_eggerthii	0.011013975237826145	0.013874767684009961	0.01011102620747431	0.029281939591161932	0.0020710769326779503	0.020358611295297462	0.01340366911776239	0.004548424781548603	0.022523196622612613	0.04206938962711697	0.0	0.008929128265970428	0.014149925060210157	0.0207605483172135	0.006987466170606348
s__Bacteroides_intestinalis	0.012385115230473462	0.015512017604415304	0.010389709654347202	0.024080170563115583	0.0013427900046941222	0.015985831592568747	0.014000612172244666	0.004377863196202551	0.024075660758952906	0.03550960474548568	0.0	0.010314549404480965	0.016733440691482596	0.02458608730851911	0.006558286485256375
s__Bacteroides_uniformis	0.010148013797154644	0.013351679463049132	0.009391615754192879	0.025270038232306134	0.0013898097338345375	0.018247739854039453	0.012704566727540233	0.004211468086326826	0.019786678570372904	0.039728363477623804	9.476493715541649e-07	0.007869342125034717	0.01350443429334881	0.019593811650469976	0.0059603978670326515
