KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
ko00010	0.29838044766336824	0.5578595456428683	0.5662421887610449
ko00030	0.2801397910348198	0.5427504650825433	0.4665706096713673
ko00230	0.2820567168370258	0.5386169034870353	0.5680704891426703
ko00290	0.3658895155962204	0.6109168469763913	0.5997604170719145
ko00312	0.20125307901112388	0.44868305411026943	0.4413953148566507
ko00550	0.2696536022656837	0.5256531278918736	0.5693646094115652
ko00620	0.20397233289639727	0.4741773968190953	0.47449808460401655
ko00680	0.45550615558721386	0.6758418951022005	0.5537826886842725
ko00970	0.43228111833837546	0.6577252238590491	0.6829140986500757
ko01051	0.17253141721856535	0.42688179926223485	0.4405834366450948
ko03015	0.45933059023126743	0.6777890581659826	0.40431367208754976
ko03070	0.35984297657009645	0.6008017965557644	0.6589538948436509
ko03420	0.29411866388271235	0.5428963009826528	0.5572699975178573
ko03430	0.3231621666122916	0.5715667426915837	0.6220976403569627
ko04122	0.2763375170263185	0.5271034070714787	0.4852437942896592
