# RUN PARAMETERS: 
# --------------- 
# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'permutation_mode': 'blocks', 'perform_inference_on_ko_level': False, 'class_file': './data/Sample_Class.txt', 'control_label': '0', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'number_of_shapley_orderings_per_taxa': '5', 'write_log': True, 'max_score_cutoff': '100', 'map_function_level': 'none', 'single_function_filter': None, 'output_pref': 'Pathway_Control', 'apply_inference': True, 'residual_mode': 'remove_residual', 'max_da_functions_cases_controls': None, 'functional_profile_already_corrected_with_musicc': True, 'map_function_file': None, 'number_of_permutations': '100', 'multiple_hypothesis_correction': 'FDR-0.05', 'score_to_compute': 'wilcoxon', 'case_label': '1', 'taxa_to_function_file': None, 'na_rep': 'NA', 'da_result_file': None, 'taxa_assessment_method': 'multi_taxa', 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'normalization_mode': 'scale_permuted'}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	ko00010	ko00030	ko00230	ko00290	ko00312	ko00550	ko00620	ko00680	ko00970	ko01051	ko03015	ko03070	ko03420	ko03430	ko04122
s__Akkermansia_muciniphila	a:0.8750305306182091	a:0.8995347700364076	a:0.4067935394507348	a:0.8228718869938143	a:0.5308448077332143	a:0.7452456304859532	a:0.8957873041275859	a:1.041690043703162	a:0.5307507874606305	a:0.9920202697110283	b:-0.2193158137967119	a:0.7417466095226064	a:0.3285171649238992	a:0.36674353572883633	a:0.9127586742173444
s__Alistipes_indistinctus	b:-0.19472186870595143	b:-0.23202285986441049	b:-0.21194893339538148	b:-0.18420050891660275	b:-0.0753228794840506	b:-0.17714207666659962	b:-0.1908394184590843	b:-0.15585982288244002	b:-0.11609202074827663	b:-0.18414310291696268	b:-0.010197750710701009	b:-0.11304380158298594	b:-0.15784735429224336	b:-0.14512998274618877	b:-0.11225360335253123
s__Alistipes_putredinis	b:-0.05519554488293866	b:-0.024620796965285567	b:-0.013198171427787266	a:0.001847211889349167	a:0.03161260278167013	b:-0.03702295636226225	b:-0.024894411583972088	b:-0.011280799778211038	a:0.03181032830176431	b:-0.020274171771843996	a:0.1689485808398491	a:0.036500939029096055	a:0.030278933872426042	a:0.02745093527073726	b:-0.01706926153691291
s__Alistipes_shahii	b:-0.017075863649181483	b:-0.007582012129996164	a:0.04059523402549306	a:0.027041660618080426	a:0.0020784406657315597	a:0.03969788168290986	a:0.004915856779376962	a:0.03662043866885683	a:0.051758603482714056	a:0.018250659554026962	a:0.0016343324804338774	a:0.04043546009319425	a:0.05797697677378648	a:0.04454605625378524	a:0.013972378188013666
s__Allisonella_histaminiformans	c:0.36090953488017957	c:0.4018536532350202	c:0.43293797441921805	c:0.332996634751623	c:0.11081963582939908	c:0.3184248016620223	c:0.41012963323413243	c:0.30865872914699627	c:0.24385447851459677	c:0.32173079882275407	c:0.046987570863292236	c:0.22484575851755464	c:0.30454559912668583	c:0.2757598124788355	c:0.21878970709549872
s__Anaeromassilibacillus_sp_An250	b:-0.0973128121338071	b:-0.11593204973799968	b:-0.11910310479168155	b:-0.09026757003134273	b:-0.027304168484997435	b:-0.08475199088740842	b:-0.1251947850967901	b:-0.07769768319794838	b:-0.062019651416902424	b:-0.08584150833570182	b:-0.006144060816305408	b:-0.05670420495979569	b:-0.0841854902391705	b:-0.07344400842520896	b:-0.05020453100888829
s__Bacteroides_cellulosilyticus	a:0.12226645972721646	a:0.06054391743939762	a:0.13683252124745648	a:0.01729062233738858	a:0.013076053466316608	b:-0.07519772089091677	a:0.06765601120745554	b:-0.008206594473799293	a:0.11817745768223302	b:-0.05413830599206913	b:-0.05501660511726323	a:0.10537372375074644	a:0.17308557841101518	a:0.18931632945882587	a:0.04964725079462881
s__Bacteroides_eggerthii	a:0.10537161220098039	a:0.08569396731504776	a:0.019519757271424874	a:0.09016347062787576	a:0.06617468866156988	b:-0.051395416922951194	a:0.21161376006251506	a:0.16608693117338855	a:0.031232720901756873	a:0.052157587849511015	b:-0.11794619371335456	a:0.05382958333927221	b:-0.03442446914314616	b:-0.043009678566999054	a:0.13043891747979772
s__Bacteroides_intestinalis	a:0.2713946901094431	a:0.2766230844081944	a:0.037493831960094405	b:-0.28099655443766186	b:-0.1718850075220253	b:-0.3852441746211684	a:0.2768647160864243	a:0.06377719282618612	a:0.0735378175428159	b:-0.2825068474463379	b:-0.09282217924632002	a:0.17614411601616267	a:0.20367416401813532	a:0.17564193317379906	a:0.01607261004733099
s__Bacteroides_uniformis	c:0.24421339974383233	c:0.17349614814752864	c:0.3743102883925231	c:0.4374824236717427	c:0.38801296536741675	c:0.4538979212470857	d:-0.0465133027088359	c:0.09213087192990926	c:0.3580187810194434	c:0.2745756272160303	d:-0.029477445889222142	c:0.30055651561663266	c:0.30152115601176116	c:0.3216992804232461	c:0.23349097818575898
s__Barnesiella_intestinihominis	b:-0.049928847071431026	b:-0.03545634128282604	b:-0.028470475959783317	b:-0.04274514361230664	b:-0.02654392610722396	b:-0.03646950509157859	b:-0.058077669543630826	a:0.010216367541138456	b:-0.02545911037640966	b:-0.04719068787378907	a:0.016999798588108666	a:0.026466192921835944	b:-0.0403452406101896	b:-0.04220489656616008	a:0.03622532547663102
s__Blautia_sp_CAG_257	d:-0.07516858150414514	d:-0.24560082871012032	d:-0.27020198826258146	d:-0.12602538431276886	d:-0.29897000973840004	d:-0.094415540622793	d:-0.06506187378085754	d:-0.25457642145472303	c:0.0218230920642406	d:-0.15724394375409473	c:0.0781646876212094	c:0.037767193192808995	d:-0.418472971670782	d:-0.11613567352044035	d:-0.25763127088627924
s__Blautia_wexlerae	d:-0.31486889554797787	d:-0.4749032100869297	d:-0.11579938810469717	d:-0.23421439513561232	d:-0.6291613380098204	d:-0.1955623922058306	d:-0.1862058477294331	d:-0.30789522090558447	d:-0.04673462127831626	d:-0.31455922973628536	c:0.09363265539302816	d:-0.08432787907839533	d:-0.07822758365024125	d:-0.10708405090726095	d:-0.2980969683721235
s__Butyricimonas_synergistica	b:-0.049239763920773914	b:-0.06554313820353874	b:-0.04394543296132774	b:-0.04099558386113868	b:-0.01251467684551098	b:-0.040477325086556076	b:-0.050217101768495594	b:-0.041162579293637425	b:-0.018220548854362934	b:-0.041405576440716	a:0.0011517025889039771	b:-0.014180393993967786	b:-0.023779752616464075	b:-0.02439508637229183	b:-0.029581474907696834
s__Collinsella_intestinalis	d:-0.10461060966529115	d:-0.17941383675191358	d:-0.020032920172572032	d:-0.05135480478245055	d:-0.022388241320628267	d:-0.04057175359209444	d:-0.04477843934403974	d:-0.13695532898185075	c:0.030201158456042685	d:-0.14986969404408065	c:0.04515796929899197	c:0.07524358375183572	d:-0.0012854833435825353	c:0.028044787526944948	d:-0.16072607231931302
s__Collinsella_stercoris	c:0.15272338316792328	c:0.17077110871243303	c:0.19087337217932263	c:0.15058048392633297	c:0.04844021856335475	c:0.14060372097564897	c:0.17766206691199038	c:0.13692939915072347	c:0.11657263762902956	c:0.14968118895796503	c:0.013057133980412684	c:0.11387672350370731	c:0.1349213997851878	c:0.12302124022959511	c:0.10224981256484159
s__Coprobacter_fastidiosus	b:-0.011417473356069104	b:-0.014550182665999249	a:0.00229771807043803	b:-0.027972333215972103	b:-0.022928474289776374	b:-0.04805148225142245	b:-0.010272070223967214	b:-0.007000477247423863	b:-0.03489069933149299	b:-0.01637747560255522	b:-0.01587463114126488	b:-0.024131001881549496	a:0.044731112475283066	b:-0.03190364472442588	b:-0.04263248539378794
s__Coprobacter_secundus	b:-0.023002209607607297	b:-0.031568682546536	b:-0.01585398018455277	b:-0.013239177724244232	b:-0.0067367306046440915	b:-0.011269552256457148	b:-0.018818821288080875	b:-0.022103182102209722	b:-0.013935172681135645	b:-0.017942049517217583	a:0.0029206956364189376	b:-0.010910701412213866	b:-0.0219445202527877	b:-0.016355684408969454	b:-0.011010648101140871
s__Coprococcus_eutactus	a:0.07235796799553029	a:0.0742377540592706	a:0.04603299552204869	a:0.04987024452692358	a:0.0033352632404893916	a:0.042667748274881206	a:0.09614453387923953	a:0.11245566458814504	a:0.03222495221382852	a:0.07306657594302433	a:0.020717885801185356	a:0.04603741569955897	a:0.04455153220617859	a:0.040285399289819335	a:0.06246482241558241
s__Eisenbergiella_tayi	a:0.06174398155644365	b:-0.008740577255639845	b:-0.0026619181740886394	a:0.13073667415080958	a:0.09486630018985386	a:0.03629983502937619	a:0.09611553526245226	a:0.0024176259431535375	a:0.002578807575296378	b:-0.023856641181945665	a:0.027264203886425073	b:-0.07178587877891152	b:-0.09784652745267733	b:-0.06533381323672967	a:0.16929895029253206
s__Eubacterium_eligens	b:-0.028576053448086506	b:-0.011374425894838287	a:0.030466242413674304	a:0.013875204667779419	b:-0.005122352269499513	a:0.023508756319487505	b:-0.024498383386847667	b:-0.04074442205496469	a:0.02460182117138787	b:-0.0029238770380664693	a:0.05137332307389895	a:0.018877156369617995	a:0.013724651169459099	a:0.019259909957213092	b:-0.014078645449240413
