# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'map_function_file': None, 'taxa_assessment_method': 'multi_taxa', 'map_function_level': 'none', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'output_pref': 'Modules_Obesity', 'apply_inference': True, 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'residual_mode': 'remove_residual', 'write_log': True, 'number_of_permutations': '100', 'class_file': './data/Sample_Class1.txt', 'max_da_functions_cases_controls': None, 'permutation_mode': 'blocks', 'normalization_mode': 'scale_permuted', 'multiple_hypothesis_correction': 'FDR-0.05', 'single_function_filter': None, 'functional_profile_already_corrected_with_musicc': True, 'da_result_file': None, 'number_of_shapley_orderings_per_taxa': '5', 'taxa_to_function_file': None, 'perform_inference_on_ko_level': False, 'control_label': '0', 'na_rep': 'NA', 'case_label': '1', 'max_score_cutoff': '100', 'score_to_compute': 'wilcoxon'}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
ko00040	0.009609944161883844	0.009098747465416359	4.160344273079458	3.177682265707724e-05	4.497889529768159	1.0	1.0	1.0	1.0	ko00040
ko00051	0.010533594758163891	0.009966216800228673	4.655270422747066	3.2355575399560167e-06	5.490050872441006	1.0	1.0	1.0	1.0	ko00051
ko00130	0.002842015625781278	0.0025155666587535997	4.314065096048876	1.6027971825038338e-05	4.7951214296684075	1.0	1.0	1.0	1.0	ko00130
ko00430	0.003437604440587653	0.0025916445976200205	3.3286048202270724	0.0008728215357999552	3.059074546604296	1.0	1.0	1.0	1.0	ko00430
ko00480	0.004073287339310358	0.0038455946498933123	3.7354159981568533	0.0001874051304314516	3.727218523973479	1.0	1.0	1.0	1.0	ko00480
ko00531	0.01690496052196917	0.015083049863946539	3.5841656884137296	0.00033815738235027444	3.4708811270054847	1.0	1.0	1.0	1.0	ko00531
ko00540	0.0072114537620957845	0.006008810808547271	5.565791797371278	2.6096468560035475e-08	7.583418258510613	1.0	1.0	1.0	1.0	ko00540
ko00740	0.00543431838628349	0.005221099422069818	3.717298901164029	0.00020136415611763455	3.696017833612219	1.0	1.0	1.0	1.0	ko00740
ko00790	0.007178155771412624	0.006834167095483085	3.441973927167018	0.0005774859074368585	3.2384586095260097	1.0	1.0	1.0	1.0	ko00790
ko04974	0.001476741537993661	0.0012646566856629076	4.057406221983866	4.962073143625035e-05	4.304336838282549	1.0	1.0	1.0	1.0	ko04974
ko05111	0.0007302493797715741	0.0005037329591920413	4.427983205927998	9.511830567047987e-06	5.02173589434936	1.0	1.0	1.0	1.0	ko05111
