# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'map_function_file': None, 'taxa_assessment_method': 'multi_taxa', 'map_function_level': 'none', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'output_pref': 'Modules_Obesity', 'apply_inference': True, 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'residual_mode': 'remove_residual', 'write_log': True, 'number_of_permutations': '100', 'class_file': './data/Sample_Class1.txt', 'max_da_functions_cases_controls': None, 'permutation_mode': 'blocks', 'normalization_mode': 'scale_permuted', 'multiple_hypothesis_correction': 'FDR-0.05', 'single_function_filter': None, 'functional_profile_already_corrected_with_musicc': True, 'da_result_file': None, 'number_of_shapley_orderings_per_taxa': '5', 'taxa_to_function_file': None, 'perform_inference_on_ko_level': False, 'control_label': '0', 'na_rep': 'NA', 'case_label': '1', 'max_score_cutoff': '100', 'score_to_compute': 'wilcoxon'}
Taxa	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
s__Akkermansia_muciniphila	0.025252027785844806	0.044318222820046396	-5.348249382722593	8.880904167679126e-08	-7.05154281631105	1.0	1.0	1.0	1.0	s__Akkermansia_muciniphila
s__Alistipes_indistinctus	0.002538702734879978	0.0038580787329597585	-2.2465200271102064	0.024670718220330314	-1.6078182070329285	0.0	0.0	1.0	1.0	s__Alistipes_indistinctus
s__Alistipes_putredinis	0.1486787105260351	0.14580274011737443	-0.7241348767737933	0.46898293463087537	-0.3288429601217694	0.0	0.0	0.0	0.0	s__Alistipes_putredinis
s__Alistipes_shahii	0.007903170807994728	0.008219413607434048	-1.888021107827957	0.05902311681159941	-1.2289778606046422	0.0	0.0	0.0	1.0	s__Alistipes_shahii
s__Allisonella_histaminiformans	0.0021081844090043334	0.000459792334409909	3.1247874790577996	0.0017793356111168758	2.7497421293137765	0.0	1.0	1.0	1.0	s__Allisonella_histaminiformans
s__Anaeromassilibacillus_sp_An250	0.0008920045893086725	0.0013977216253451693	-2.5987054125919262	0.009357603973533005	-2.028835338685271	0.0	0.0	1.0	1.0	s__Anaeromassilibacillus_sp_An250
s__Bacteroides_cellulosilyticus	0.015651070970534715	0.02050646580985951	-2.750230223804638	0.005955340686214501	-2.2250933888561275	0.0	0.0	1.0	1.0	s__Bacteroides_cellulosilyticus
s__Bacteroides_eggerthii	0.019557038229312703	0.029564148059796392	-2.0969167261846122	0.03600094761187944	-1.4436860676439933	0.0	0.0	0.0	1.0	s__Bacteroides_eggerthii
s__Bacteroides_intestinalis	0.005203557861916006	0.014452999759862086	-2.5056494144015105	0.01222267444431925	-1.912833755686985	0.0	0.0	1.0	1.0	s__Bacteroides_intestinalis
s__Bacteroides_uniformis	0.27412810520430275	0.25632978806694945	0.5333563554099622	0.5937869235470314	0.22636937072431038	0.0	0.0	0.0	0.0	s__Bacteroides_uniformis
s__Barnesiella_intestinihominis	0.040915872475088044	0.03942309342466414	-2.093348207079965	0.03631808224427098	-1.4398770922192343	0.0	0.0	0.0	1.0	s__Barnesiella_intestinihominis
s__Blautia_sp_CAG_257	0.005835026152205977	0.0018105935947042154	1.0157926882113049	0.30972811862174465	0.5090193654926671	0.0	0.0	0.0	0.0	s__Blautia_sp_CAG_257
s__Blautia_wexlerae	0.03223360881571781	0.02781122571469961	1.6821450056367722	0.09254072508085877	1.0336671020115893	0.0	0.0	0.0	0.0	s__Blautia_wexlerae
s__Butyricimonas_synergistica	0.0013373274214434046	0.0017631836768516442	-3.4054652317117813	0.0006605142359342539	-3.180117817684481	1.0	1.0	1.0	1.0	s__Butyricimonas_synergistica
s__Collinsella_intestinalis	0.008290588550564935	0.0045353734006422725	2.0771526203742585	0.03778747522244531	1.4226521245844554	0.0	0.0	0.0	1.0	s__Collinsella_intestinalis
s__Collinsella_stercoris	0.002145317137674045	0.0015157295884774902	1.7289475062015682	0.083818490557473	1.0766601644096292	0.0	0.0	0.0	0.0	s__Collinsella_stercoris
s__Coprobacter_fastidiosus	0.006867288278273795	0.0082967755846741	-1.0414585756178059	0.29766276911430734	-0.5262754823817244	0.0	0.0	0.0	0.0	s__Coprobacter_fastidiosus
s__Coprobacter_secundus	0.0008300291905906758	0.001073351759696322	-1.3936439610995255	0.16342514635702277	-0.7866811174251074	0.0	0.0	0.0	0.0	s__Coprobacter_secundus
s__Coprococcus_eutactus	0.04483500052024652	0.04798407601194596	-2.5635692244846306	0.0103602038945035	-1.9846316973527167	0.0	0.0	1.0	1.0	s__Coprococcus_eutactus
s__Eisenbergiella_tayi	0.0037343431671956425	0.0016782626236667149	-3.3519374451420734	0.0008024814891595555	-3.0955649766783293	1.0	1.0	1.0	1.0	s__Eisenbergiella_tayi
s__Eubacterium_eligens	0.09269347077312932	0.09505823460434651	-2.6201165272198095	0.008789972587626337	-2.0560124793131656	0.0	0.0	1.0	1.0	s__Eubacterium_eligens
s__Eubacterium_siraeum	0.025782752856488008	0.03473946284056834	-2.7894839339557573	0.0052792115648987465	-2.2774309332581844	0.0	0.0	1.0	1.0	s__Eubacterium_siraeum
s__Eubacterium_sp_CAG_274	0.021344757471919606	0.009069362174145421	4.210303540544519	2.550278100649126e-05	4.593412458392765	1.0	1.0	1.0	1.0	s__Eubacterium_sp_CAG_274
s__Firmicutes_bacterium_CAG_110	0.007600771077041597	0.009784551818604876	-2.564118227423807	0.01034383037792198	-1.9853186097959232	0.0	0.0	1.0	1.0	s__Firmicutes_bacterium_CAG_110
s__Firmicutes_bacterium_CAG_170	0.0016028046731803732	0.004172166238494229	-2.082368148296435	0.037308855500574556	-1.4281880733233834	0.0	0.0	0.0	1.0	s__Firmicutes_bacterium_CAG_170
s__Firmicutes_bacterium_CAG_238	0.003493183992563801	0.004166114869860063	-2.0763291159654935	0.03786352220398882	-1.421778988824247	0.0	0.0	0.0	1.0	s__Firmicutes_bacterium_CAG_238
s__Firmicutes_bacterium_CAG_95	0.003175524592083663	0.005056189587139263	-2.231559697017647	0.02564407786349855	-1.5910129131314494	0.0	0.0	1.0	1.0	s__Firmicutes_bacterium_CAG_95
s__Gemella_sanguinis	0.00029116108644158063	0.0003169616088709456	1.0074203933888632	0.3137327952614194	0.5034400810579975	0.0	0.0	0.0	0.0	s__Gemella_sanguinis
s__Intestinimonas_butyriciproducens	0.0005539540725938432	0.0008694253676233316	-3.1345322812281826	0.0017212831401300565	-2.7641476851158124	0.0	1.0	1.0	1.0	s__Intestinimonas_butyriciproducens
s__Lawsonibacter_asaccharolyticus	0.0015154699920840791	0.001925394250684539	-3.11614068276577	0.0018323483365203324	-2.736991961755397	0.0	1.0	1.0	1.0	s__Lawsonibacter_asaccharolyticus
s__Megamonas_hypermegale	0.014873587388040458	0.002349295711622746	1.729771010610333	0.08367119577752835	1.0774240242989628	0.0	0.0	0.0	0.0	s__Megamonas_hypermegale
s__Methanobrevibacter_smithii	0.009728976308902008	0.032130153904968844	-3.544362975323434	0.0003935630168905658	-3.404985718967778	1.0	1.0	1.0	1.0	s__Methanobrevibacter_smithii
s__Oscillibacter_sp_57_20	0.023263036690281794	0.022196070140001047	-1.1336910693994564	0.25692415703771865	-0.59019505970816	0.0	0.0	0.0	0.0	s__Oscillibacter_sp_57_20
s__Oscillibacter_sp_CAG_241	0.008810934535255416	0.009187344201036278	-3.619301876521025	0.0002953988761450538	-3.5295911613088697	1.0	1.0	1.0	1.0	s__Oscillibacter_sp_CAG_241
s__Roseburia_hominis	0.019163701140303455	0.021447918188437116	-1.6542831064735652	0.09807000381429327	-1.0084638078087023	0.0	0.0	0.0	0.0	s__Roseburia_hominis
s__Roseburia_sp_CAG_309	0.0007420479855366455	0.0014471747367917232	-2.2522845579715596	0.02430429537415327	-1.6143169653959795	0.0	0.0	1.0	1.0	s__Roseburia_sp_CAG_309
s__Ruminococcus_bicirculans	0.034364558455543655	0.04584353513917071	-3.5937732398493183	0.00032592351510710453	-3.4868843044233584	1.0	1.0	1.0	1.0	s__Ruminococcus_bicirculans
s__Ruminococcus_gnavus	0.07342206648042672	0.029481673520262434	3.7175734026336174	0.00020114555366192386	3.6964895630998473	1.0	1.0	1.0	1.0	s__Ruminococcus_gnavus
s__Ruthenibacterium_lactatiformans	0.008640265600049327	0.00995793478331193	-3.76725816862909	0.00016505029430126825	-3.7823836969422557	1.0	1.0	1.0	1.0	s__Ruthenibacterium_lactatiformans
