KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ko00040	0.36475574645865894	0.6040808558726023	7.424767314148143e-87	0.6150030982053099	8.054128426673559e-91	0.0011120426231084415	0.0008799719739696053
ko00051	0.21915310609379834	0.46866010574295186	2.806955349747175e-48	0.43560629887757635	3.1541025188756545e-41	0.0012539450097355273	0.0011082823900052101
ko00130	0.3704117518372151	0.6086275086093393	1.7340026524915175e-88	0.6322696010326357	2.0470196538907212e-97	0.0007157470115060694	0.0005920517429083842
ko00430	0.2275273939491259	0.48036252156528747	5.765108356379357e-51	0.49709407072164447	5.407768950713271e-55	0.0027014723733589214	0.0013296030545501252
ko00480	0.29640736909449994	0.5447432751506286	9.029016665235729e-68	0.609137451513229	1.1334343581536366e-88	0.0005985155017795153	0.0006727282533785516
ko00531	0.38273939990132133	0.6187637919988209	3.196017623156259e-92	0.6248902007577314	1.5150346011664353e-94	0.005150946944972328	0.004129045121281829
ko00540	0.35677839603464834	0.5990333241182147	4.48239113905002e-85	0.5935379831577575	3.5860902986522124e-83	0.001882013457206478	0.0015601937075753985
ko00740	0.38883435354275	0.6252345733416764	1.1174698517344574e-94	0.669162426772833	5.214195835734638e-113	0.0005047936927910031	0.00044046948563926304
ko00790	0.2910742480975277	0.5408024560137712	1.2340095218228477e-66	0.5612265687421394	1.091509059702605e-72	0.000818147236415639	0.000666363627396256
ko04974	0.3505864514992616	0.5924492190400255	8.459315186657008e-83	0.5993255076657293	3.542322032514822e-85	0.0004772779685263517	0.00036639511588762506
ko05111	0.10305009864396364	0.3223432686467353	2.7177499024423266e-22	0.2906628097031437	3.0342632282564354e-18	0.000601865309433302	0.0003388471935337725
