Taxa	ko00040	ko00051	ko00130	ko00430	ko00480	ko00531	ko00540	ko00740	ko00790	ko04974	ko05111
s__Akkermansia_muciniphila	0.15919732013172347	0.11566030258548174	0.07980304518223458	0.09957931579805192	0.11411601953311568	0.16659303149860405	0.2028472838781653	0.1439172436820748	0.1497788548085064	0.19888233166752198	0.11896059617427575
s__Alistipes_indistinctus	0.11057587095624064	0.11104266423870725	0.05154632707999627	0.026784185860834014	0.10331279621227375	0.055843043702025155	0.07067465759154276	0.11099314163097908	0.11769083250691283	0.04554802938729448	0.03492539125831491
s__Alistipes_putredinis	0.1516340228646964	0.16626108009179655	0.29642393230151315	0.3235714005134156	0.13823807957121093	0.21542432375000276	0.1872981103461132	0.25434966454079583	0.2209930285325922	0.15927556894198533	0.12690331084070233
s__Alistipes_shahii	0.10951203074286188	0.14729844174104878	0.05865064955449048	0.0377547629737462	0.1049709868209773	0.09032670500343633	0.06813963676398328	0.12970996099856483	0.13552557764954268	0.0529052088688847	0.043036732964832215
s__Allisonella_histaminiformans	0.06078469708244137	0.07475182315428415	0.02971916508444543	0.015729432942577837	0.0514458527892891	0.023591617431466004	0.03484191060354887	0.06874484396873419	0.06787775028657198	0.028315341344491565	0.020139532996593486
s__Anaeromassilibacillus_sp_An250	0.035038283729285656	0.04553314633748053	0.018318454341736182	0.010605068675913164	0.03189892404012994	0.01461226894944299	0.01870161367363132	0.039500786533138155	0.03859976322237772	0.013662936025662533	0.014476194226712131
s__Bacteroides_cellulosilyticus	0.10014587392861977	0.07522379555339807	0.1343336062421495	0.1054182272020097	0.10871012492876625	0.04205754798850409	0.11749531009382912	0.12750810777898497	0.07347520481283762	0.11692965921851979	0.15031679267393122
s__Bacteroides_eggerthii	0.09206558490632562	0.08357347824339743	0.0740581024697274	0.06273431327027837	0.07221975993461134	0.06666221584068471	0.09318984284122717	0.06769816161399189	0.06777763778069466	0.07428376807825515	0.07189431279116187
s__Bacteroides_intestinalis	0.05219418613970666	0.0318590964692914	0.049651671345002174	0.06370220737251667	0.07380542063933852	0.09481403363836154	0.027975836784335135	0.06176341825732534	0.04447257129560077	0.05478352209981731	0.08545403023940619
s__Bacteroides_uniformis	0.3151383612591425	0.17655729060214925	0.19699061306062177	0.2728385635700697	0.3148384303977491	0.5159729841825023	0.2412143407891945	0.2526456411042157	0.3523522003519459	0.37863635534591455	0.26265934305312655
s__Barnesiella_intestinihominis	0.06876904765238574	0.05690601820098132	0.11077634349352342	0.12320292102688535	0.0691807109360264	0.08914969830517104	0.056461700240996046	0.15326952159976195	0.07008930729000988	0.05639607074613952	0.16349269341550535
