Taxa	ko00040	ko00051	ko00130	ko00430	ko00480	ko00531	ko00540	ko00740	ko00790	ko04974	ko05111
s__Akkermansia_muciniphila	0.0069020672498184285	0.008942048824213743	0.0022129602589388672	0.0016536383668545964	0.003339974699691292	0.004186757193711692	0.001527926870266576	0.004330510508968467	0.005519716687622579	0.0	0.000745933708185466
s__Alistipes_indistinctus	0.0	0.0	0.0	0.0	0.0	0.039478295232925106	0.01577403269939335	0.0	0.0	0.0	0.0
s__Alistipes_putredinis	0.00926791746976507	0.010573557235594663	0.003947202971798116	0.0060490573998674075	0.004074420648242622	0.01101655934371365	0.008398406728844007	0.006111864260138282	0.007885906218681958	0.00163606070620242	0.0006134062087753358
s__Alistipes_shahii	0.01720147002028168	0.0	0.0	0.0	0.007825601635297285	0.0479451539559737	0.0	0.0	0.0	0.0	0.0
s__Allisonella_histaminiformans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaeromassilibacillus_sp_An250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_cellulosilyticus	0.007476997531303738	0.009193167341512211	0.0006770730918113489	0.0	0.002908046977535889	0.01397148598629147	0.00372225780906598	0.003880930157481775	0.006300146065590927	0.0005593379693621062	0.0
s__Bacteroides_eggerthii	0.01042161411085836	0.00929138156350516	0.0022145699961655008	0.0032296647885059057	0.0042826301610993265	0.019272682349809032	0.005552071430681299	0.005500215925964777	0.006881833286737526	0.0012537317344569624	0.00043535331115917615
s__Bacteroides_intestinalis	0.010689970773680694	0.009582057266917833	0.0015148368020080198	0.0	0.004938157788801346	0.03252451667625598	0.007171123081397969	0.004321071883277767	0.007670877303424184	0.0007789271325539904	0.0
s__Bacteroides_uniformis	0.01050929067887429	0.009933805779428616	0.002737516368602902	0.003884112320881968	0.004508190612209303	0.027154720398955143	0.007820998769533991	0.005693575387354548	0.007937172972782843	0.0019501282926124525	0.0007057400795265098
s__Barnesiella_intestinihominis	0.008566907066252273	0.010425703995399696	0.0013247965644483703	0.0	0.0035189119045965487	0.021094553490181685	0.007255200114355345	0.003778235924177702	0.006597171807120158	0.0014481942903384482	0.0010353653922470657
s__Blautia_sp_CAG_257	0.008105337710034554	0.007513940348298369	0.0	0.0	0.0	0.0	0.0	0.003795337761238029	0.005698128142037446	0.0	0.0
s__Blautia_wexlerae	0.008607175684072472	0.011985880096854298	0.0017155072336206625	0.000516308549627144	0.003956041309097118	0.0020488492012867123	0.002703126166217384	0.005189774164715925	0.006666823602986505	0.0005366514484893709	0.0
s__Butyricimonas_synergistica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Collinsella_intestinalis	0.00964432076402004	0.008738074006431791	0.0037557580465586754	0.00655825245171727	0.0062976495301604206	0.013318513797012033	0.004634629840193177	0.006014163676180536	0.009408227990051254	0.0015598194595864436	0.0
s__Collinsella_stercoris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Coprobacter_fastidiosus	0.011879085040874251	0.012782468066088844	0.004392588132843474	0.0	0.004845565114441624	0.030400968288433968	0.011616200487274667	0.005456457635627593	0.009706863385028599	0.002320728060722686	0.0
s__Coprobacter_secundus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Coprococcus_eutactus	0.007557838815720142	0.010422946052886167	0.002070190244867216	0.0	0.0032035764746271176	0.009278354306089814	0.005115016158959713	0.004518595304845253	0.006214142198575317	0.0010102215058821985	0.00039879621830455367
s__Eisenbergiella_tayi	0.010914831491989893	0.010719632256070769	0.002825572030395169	0.0	0.003922915969174191	0.0243726011697033	0.010701685083329984	0.003754951455658546	0.00846143676935171	0.0	0.0
s__Eubacterium_eligens	0.011260650345857196	0.01246883369742523	0.0031675840107871127	0.0006761194626946159	0.004166343913386355	0.0155745377358938	0.008514035850310901	0.00560694849986349	0.00773100130369626	0.0015606703958847197	0.00020038954267939115
s__Eubacterium_siraeum	0.006251393160421629	0.008651728135065895	0.0006307767462362994	0.0	0.0029055289447742416	0.004005655389032335	0.0014121459308967168	0.004278431878125412	0.005186898617727151	0.00013238086679241283	0.0004994900610613117
s__Eubacterium_sp_CAG_274	0.0115123853674234	0.011377496977427144	0.002301828906530963	0.003233354744696692	0.0028203656960586257	0.012224880119550459	0.006450372052346417	0.006619139150324291	0.007466056233423716	0.001894234383386646	0.0
s__Firmicutes_bacterium_CAG_110	0.006313381929071587	0.0042684616624705865	0.0	0.0	0.002223720559016678	0.0	0.0	0.0031640550164953834	0.004194053475604068	0.0	0.0
s__Firmicutes_bacterium_CAG_170	0.008314463080663193	0.013264077820583746	0.0	0.0	0.0	0.0	0.007654182602528101	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_238	0.0	0.0	0.0	0.0	0.0	0.0	0.007665976088252632	0.0	0.008320803900302338	0.0	0.0
s__Firmicutes_bacterium_CAG_95	0.0	0.010624776973618492	0.0	0.0	0.0	0.0	0.013775891815024132	0.0	0.0	0.0	0.0
s__Gemella_sanguinis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Intestinimonas_butyriciproducens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
