KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
ko00040	0.3391231566208619	0.5841021653650161	0.5999680413707809
ko00051	0.1949932676886721	0.447112707404962	0.42934075509952363
ko00130	0.36455896390775167	0.6038751131659988	0.6297101566099295
ko00430	0.20184195100293667	0.4498664325083814	0.4659057997073752
ko00480	0.2880789950927807	0.5373754537086068	0.6040763608911692
ko00531	0.3775356967461474	0.614461510596091	0.6198706087668399
ko00540	0.35336131905781276	0.5958511761280355	0.5885328923624543
ko00740	0.36648566062662713	0.6101315790245503	0.6651929094746909
ko00790	0.2902086924763002	0.5399538927901879	0.5598094514039376
ko04974	0.34637200844527616	0.5886111524250999	0.5971315883842767
ko05111	0.09097764623131255	0.304496138198829	0.2663571314288592
