# RUN PARAMETERS: 
# --------------- 
# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'map_function_file': None, 'taxa_assessment_method': 'multi_taxa', 'map_function_level': 'none', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'output_pref': 'Modules_Obesity', 'apply_inference': True, 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'residual_mode': 'remove_residual', 'write_log': True, 'number_of_permutations': '100', 'class_file': './data/Sample_Class1.txt', 'max_da_functions_cases_controls': None, 'permutation_mode': 'blocks', 'normalization_mode': 'scale_permuted', 'multiple_hypothesis_correction': 'FDR-0.05', 'single_function_filter': None, 'functional_profile_already_corrected_with_musicc': True, 'da_result_file': None, 'number_of_shapley_orderings_per_taxa': '5', 'taxa_to_function_file': None, 'perform_inference_on_ko_level': False, 'control_label': '0', 'na_rep': 'NA', 'case_label': '1', 'max_score_cutoff': '100', 'score_to_compute': 'wilcoxon'}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	ko00040	ko00051	ko00130	ko00430	ko00480	ko00531	ko00540	ko00740	ko00790	ko04974	ko05111
s__Akkermansia_muciniphila	c:0.6196083349431882	c:0.4006614300061052	c:0.18495205170934004	c:0.2386509301180929	c:0.302784665160778	c:0.5960915547345897	c:0.7694355446059756	c:0.49358528741216057	c:0.5504025306694329	c:0.787389827034838	d:-0.22316640075760905
s__Alistipes_indistinctus	c:0.17074636134917479	c:0.19862834838915625	c:0.07525419780865976	c:0.036129334424265795	c:0.1503912468362984	d:-0.08147911690400697	d:-0.11583722707650496	c:0.20257577806082439	c:0.18784066586631326	c:0.07113816792667078	c:0.05632381630793855
s__Alistipes_putredinis	c:0.015815423285824467	d:-0.04431599586827344	d:-0.07343687138699964	c:0.0642120453850092	c:0.03687189609199809	d:-0.015985543811976963	d:-0.07473243386146552	d:-0.09966697896799126	d:-0.05419634545663899	d:-0.042230770089293594	c:0.040755908885692034
s__Alistipes_shahii	c:0.0006262715836159749	c:0.052354891059651916	c:0.011787965878022597	c:0.009267563769255525	c:0.008611068869987968	d:-0.007592217953865474	c:0.016878884210004642	c:0.07259758666298315	c:0.05811060971998141	c:0.0143482199693745	c:0.006432597053338763
s__Allisonella_histaminiformans	b:-0.18882177634961703	b:-0.22214571983168935	b:-0.07485189127023097	b:-0.04204569979079735	b:-0.15109978439880023	b:-0.0766588710980374	b:-0.10042052069450706	b:-0.21456090637900346	b:-0.22689710096128843	b:-0.08029790188787267	b:-0.05690716712330967
s__Anaeromassilibacillus_sp_An250	c:0.08732551958828964	c:0.11014377098027753	c:0.03509919375539407	c:0.019823595205762955	c:0.07371648280702177	c:0.02874356972952756	c:0.03386704815890232	c:0.09075830827397428	c:0.08695505522033307	c:0.029741009531022152	c:0.030568666654326816
s__Bacteroides_cellulosilyticus	c:0.13250549123584401	c:0.06733167716338818	c:0.1918596066900587	c:0.14584571365489357	c:0.1323484623182411	c:0.02816441385969167	c:0.13924728955992666	c:0.1860805624433134	c:0.08305561403634837	c:0.14869071727069832	c:0.19102134958692832
s__Bacteroides_eggerthii	d:-0.15881452854709108	c:0.1722939302497211	c:0.10250405723367406	d:-0.0558913568388503	d:-0.11209689820589248	d:-0.12229925913358267	c:0.14500749878275862	d:-0.056490572431463805	c:0.05307701292564878	c:0.07142446592095208	c:0.10664438401497126
s__Bacteroides_intestinalis	d:-0.2010140617768453	c:0.07855612671684221	c:0.20538260485685866	c:0.28139369471766323	d:-0.2938423222864917	d:-0.46757044529132	d:-0.059429891936819405	c:0.2168625519320064	d:-0.1589329724119688	c:0.1838477956436795	c:0.3379191921822576
s__Bacteroides_uniformis	a:0.3309013016877629	b:-0.05210216670665104	a:0.09361896551204482	a:0.2735599999325507	a:0.3520343111344573	a:0.5057563588027391	a:0.2539808095737103	a:0.22032369169255006	a:0.37601444982372073	a:0.4498633690320699	a:0.29724635166436253
s__Barnesiella_intestinihominis	d:-0.028735756995393116	d:-0.006961751424714263	d:-0.04373569976156386	d:-0.022163065653575283	d:-0.02490617995466826	d:-0.012140172379001975	d:-0.018635975155338224	d:-0.052850823714708055	d:-0.0265464881209401	d:-0.015771657897673194	c:0.12126032034068576
s__Blautia_sp_CAG_257	b:-0.05738765731107662	b:-0.12985483466050773	b:-0.14681149428689574	b:-0.08470712749337882	b:-0.20628356091104258	b:-0.1473946621012871	b:-0.18966401724330592	b:-0.13325527440377627	b:-0.10060397213818267	b:-0.15461878062293402	b:-0.09711024412624943
s__Blautia_wexlerae	b:-0.037640274974870123	a:0.04376935786483492	b:-0.024032336199480562	b:-0.022772233684086114	b:-0.031443045335455236	b:-0.13825988665832012	b:-0.13429452289063892	b:-0.00830766732260153	b:-0.010239270817601023	b:-0.10320010849855922	b:-0.033257457818438224
s__Butyricimonas_synergistica	c:0.08734469246016553	c:0.09782085100752197	c:0.029986047842874584	c:0.01495271443640314	c:0.07134783074144245	c:0.02884751428601161	c:0.03600358459719749	c:0.09106663677081485	c:0.0963476649667348	c:0.0324112894421844	c:0.026121897693980066
s__Collinsella_intestinalis	a:0.026086831890864966	b:-0.0633426077303334	a:0.09259057039097972	a:0.12408063290122598	a:0.25213794747687923	b:-0.02426653522253389	b:-0.08068424511007005	a:0.09313302752588143	a:0.2606500691248295	a:0.036618059656120354	b:-0.13565855588551895
s__Collinsella_stercoris	b:-0.05137628628207067	b:-0.04780752786844995	b:-0.016899830783684	b:-0.009727867541258905	b:-0.03304454321702684	b:-0.03306771395645976	b:-0.048860276196816994	b:-0.0696177113251207	b:-0.09055779550818883	b:-0.037193386582380465	b:-0.007455839992974658
s__Coprobacter_fastidiosus	d:-0.05115187077293345	d:-0.03407493727187047	d:-0.04345769311936399	c:0.032040923613216886	d:-0.03632955157308391	d:-0.051716879259336684	d:-0.037167738291222024	d:-0.017229528164157144	d:-0.07718599838163742	d:-0.04146302467135137	c:0.034511141222543854
s__Coprobacter_secundus	c:0.04387558289506635	c:0.055085645756114306	c:0.016324123778466017	c:0.007259691096705805	c:0.03362134822812316	c:0.009167842312303564	c:0.019489407262787306	c:0.04429212127891846	c:0.04809855573420724	c:0.014968072441701645	c:0.012729379225724318
s__Coprococcus_eutactus	c:0.05515123049184822	c:0.08402536438191069	c:0.0755615268386111	c:0.07907539903531258	c:0.04820040281792371	c:0.07550879440245331	c:0.057988435450517	c:0.08113024665165794	c:0.0737173696579235	c:0.07105930858140751	c:0.06391388048104261
s__Eisenbergiella_tayi	c:0.03379739517061907	c:0.011872836101619893	d:-0.0026279362998534845	d:-0.06822197692975275	d:-0.01358931490645285	c:0.05837939592820287	c:0.06194621171603879	d:-0.07512119832739467	c:0.04617313204152311	d:-0.0634635854549304	d:-0.05987583717041355
s__Eubacterium_eligens	d:-0.08122868710175186	d:-0.1496739111497713	d:-0.057248689182472806	c:0.06418441223707068	d:-0.0014951883893495055	c:0.012848160938564605	d:-0.11568768712207238	d:-0.05851408464928082	d:-0.08492274487849075	d:-0.032253345519682876	c:0.09661519832209507
s__Eubacterium_siraeum	c:0.30870746371559676	c:0.22717802154216538	c:0.30820460517730813	c:0.24827999120729852	c:0.22768973451247315	c:0.29414822953960046	c:0.3213190606953703	c:0.2042878789191423	c:0.2743768318440547	c:0.2963252232714134	c:0.05015148887876476
s__Eubacterium_sp_CAG_274	a:0.38558074157688027	a:0.2690288393665535	b:-0.035398752282206285	a:0.07629807762800936	b:-0.34203226589457425	b:-0.1316003683901217	b:-0.01441843603759533	a:0.46366911778954417	a:0.13961785246687233	a:0.2821632419914058	b:-0.412566122355196
s__Firmicutes_bacterium_CAG_110	c:0.09306661224723949	c:0.2052344022172779	c:0.10784889646352443	c:0.04758940477761562	c:0.08727492685589482	c:0.10984922386491017	c:0.1332183645138655	c:0.1236705417826596	c:0.10747442015101231	c:0.10253461839728821	c:0.08490061583694239
s__Firmicutes_bacterium_CAG_170	c:0.03880810276548761	d:-0.1250971892666027	c:0.13058779581530364	c:0.08085833534978283	c:0.20799749177915774	c:0.12130850590634733	d:-0.027155979922415092	c:0.2370227281704798	c:0.23637173737760253	c:0.11995591751119916	c:0.09961144520914379
s__Firmicutes_bacterium_CAG_238	c:0.11106254851448702	c:0.14118521362722594	c:0.03589558586516256	c:0.01524448838307779	c:0.0710710628751053	c:0.032789031618334706	d:-0.0032159184477114733	c:0.08531661929485378	d:-0.013741881415550166	c:0.02828682743812958	c:0.024564700126500486
s__Firmicutes_bacterium_CAG_95	c:0.20005900781765484	d:-0.017708258727119053	c:0.08424406462968104	c:0.054711535445561586	c:0.16686368587033265	c:0.07796352731349578	d:-0.09645231337314096	c:0.20545120207025885	c:0.20652002633084482	c:0.07860543844237901	c:0.07679030803247562
s__Gemella_sanguinis	a:0.011611735934546938	a:0.013090918776669694	a:0.004602812488058828	a:0.001859571493979866	a:0.009976171716749528	b:-0.0014780848362444025	b:-0.0016050734391754532	a:0.00862385078457186	a:0.0026670422015209598	b:-0.001312314102609985	a:0.0039094780838726815
s__Intestinimonas_butyriciproducens	c:0.0441852909377541	c:0.05311244473072331	c:0.01692535238185648	c:0.008880573005129854	c:0.031963500121794566	c:0.013598873188393914	c:0.019082469391871575	c:0.045191331785295795	c:0.03803233345843436	c:0.01277179322202531	c:0.01369465308578255
