Individual	ERR1190533	ERR1190534	ERR1190536	ERR1190538	ERR1190539	ERR1190540	ERR1190541	ERR1190542	ERR1190548	ERR1190549	ERR1190550	ERR1190551	ERR1190552	ERR1190553	ERR1190555	ERR1190557	ERR1190558	ERR1190559	ERR1190561	ERR1190562	ERR1190563	ERR1190564	ERR1190565	ERR1190566	ERR1190568	ERR1190569	ERR1190570	ERR1190572	ERR1190573	ERR1190574	ERR1190575	ERR1190576	ERR1190578	ERR1190579	ERR1190580	ERR1190583	ERR1190584	ERR1190587	ERR1190589	ERR1190590	ERR1190591	ERR1190592	ERR1190593	ERR1190594	ERR1190595	ERR1190597	ERR1190598	ERR1190599	ERR1190600	ERR1190601	ERR1190602	ERR1190604	ERR1190606	ERR1190609	ERR1190621	ERR1190622	ERR1190625	ERR1190626	ERR1190627	ERR1190628	ERR1190629	ERR1190630	ERR1190631	ERR1190632	ERR1190634	ERR1190635	ERR1190637	ERR1190638	ERR1190640	ERR1190641	ERR1190642	ERR1190643	ERR1190645	ERR1190646	ERR1190647	ERR1190648	ERR1190649	ERR1190650	ERR1190652	ERR1190654	ERR1190655	ERR1190656	ERR1190660	ERR1190661	ERR1190662	ERR1190663	ERR1190667	ERR1190668	ERR1190669	ERR1190670	ERR1190671	ERR1190672	ERR1190674	ERR1190675	ERR1190676	ERR1190678	ERR1190681	ERR1190685	ERR1190686	ERR1190688	ERR1190690	ERR1190691	ERR1190693	ERR1190695	ERR1190697	ERR1190698	ERR1190700	ERR1190703	ERR1190704	ERR1190717	ERR1190718	ERR1190719	ERR1190720	ERR1190723	ERR1190724	ERR1190726	ERR1190748	ERR1190749	ERR1190750	ERR1190751	ERR1190752	ERR1190753	ERR1190754	ERR1190755	ERR1190758	ERR1190759	ERR1190760	ERR1190761	ERR1190762	ERR1190763	ERR1190764	ERR1190765	ERR1190767	ERR1190768	ERR1190769	ERR1190770	ERR1190772	ERR1190773	ERR1190774	ERR1190775	ERR1190776	ERR1190777	ERR1190779	ERR1190781	ERR1190783	ERR1190784	ERR1190786	ERR1190787	ERR1190788	ERR260134	ERR260147	ERR260153	ERR260170	ERR260216	ERR260221	ERR260227	ERR260228	ERR260230	ERR260234	ERR260248	ERR260250	ERR260256	ERR260258	ERR260265	ERR260267	ERR688516	ERR688528	ERR688543	ERR688544	ERR688554	ERR688556	ERR688557	ERR688561	ERR688563	ERR688564	ERR688565	ERR688590	ERR688595	ERR688598	ERR688600	ERR688607	ERR688612	ERR688616	ERR688624	ERR710429	ERR710432	MH0014	MH0025	MH0030	MH0079	MH0093	MH0095	MH0097	MH0115	MH0121	MH0122	MH0124	MH0140	MH0141	MH0143	MH0154	MH0159	MH0163	MH0179	MH0189	MH0196	MH0204	MH0206	MH0211	MH0229	MH0236	MH0247	MH0257	MH0274	MH0276	MH0277	MH0287	MH0288	MH0292	MH0302	MH0318	MH0414	MH0415	MH0417	MH0421	MH0424	MH0425	MH0427	MH0431	MH0433	MH0444	MH0445	MH0447	MH0448	MH0450	MH0456	O2.UC51-0	SRR10901874	SRR10901876	SRR10901877	SRR10901880	SRR10901881	SRR10901882	SRR10901883	SRR10901884	SRR10901886	SRR10901887	SRR10901889	SRR10901894	SRR10901895	SRR10901899	SRR10901900	SRR10901903	SRR10901905	SRR10901906	SRR10901908	SRR10901909	SRR10901910	SRR10901911	SRR10901912	SRR10901913	SRR10901914	SRR10901915	SRR10901917	SRR10901919	SRR10901921	SRR10901923	SRR10901926	SRR10901927	SRR10901928	SRR10901929	SRR10901930	SRR10901932	SRR10901936	SRR10901937	SRR10901938	SRR10901942	SRR10901943	SRR10901945	SRR10901947	SRR13279582	SRR13279584	SRR13279585	SRR13279587	SRR13279588	SRR13279615	SRR13279626	SRR13279648	SRR13279673	SRR13279674	SRR13279675	SRR13279676	SRR13279678	SRR13279679	SRR13279680	SRR13279681	SRR13279683	SRR13279684	SRR13279685	SRR13279687	SRR13279688	SRR13279689	SRR13279690	SRR13279691	SRR13279692	SRR13279693	SRR13279697	SRR13279698	SRR13279699	SRR13279701	SRR13279702	SRR13279703	SRR13279704	SRR13279705	SRR13279706	SRR13279707	SRR13279709	SRR13279710	SRR13279711	SRR13279712	SRR13279713	SRR13279715	SRR13279716	SRR13279718	SRR13279719	SRR13279721	SRR13279722	SRR13279723	SRR13279725	SRR13279727	SRR13279728	SRR13279729	SRR13279730	SRR13279731	SRR13279732	SRR13279733	SRR13279734	SRR13279735	SRR13279736	SRR13279737	SRR13279738	SRR13279740	SRR13279741	SRR13279743	SRR13279744	SRR13279748	SRR13279749	SRR13279751	SRR13279753	SRR13279755	SRR13279756	SRR13279758	SRR13279759	SRR13279760	SRR13279761	SRR13279762	SRR13279763	V1.CD11-0	V1.UC33-0	V1.UC57-0	V1.UC61-0
aap/aspU	0	0	0	0	0	0.007066607	0	0	0	0	0	0	0	0	0	0	0	0	0.006083534	0	0.005435988	0	0	0.002675531	0	0	0	0	0	0.007923176	0	0	0	0	0	0	0	0	0	0.001452483	0	0.003305785	0	0	0	0	0	0	0	0.000739144	0	0	0	0	0	0.004836505	0	0	0	0	0	0	0.006306496	0	0	0	0	0	0	0.014636696	0.023343373	0	0	0	0.001588218	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005440158	0	0	0	0.042587601	0	0	0	0	0	0	0	0.006303003	0	0	0	0	0	0	0	0.002947178	0	0	0	0.005606801	0.001388353	0.001200521	0	0	0	0	0	0	0.041628122	0	0.003922018	0	0.004428929	0	0	0	0	0.00282874	0	0	0	0	0	0.001744931	0	0	0	0	0.000776006	0	0	0	0	0	0	0.005602649	0	0	0	0	0	0.071895425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002723608	0	0	0	0	0	0	0	0.014841351	0.015733551	0.006835522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025911708	0	0	0	0	0	0	0	0	0.007419184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178466077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acpXL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.001250274	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
afaA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004749267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
afaD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000739144	0	0	0.003443368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003071203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agg3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023541453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agg3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023029683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agg3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026100307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aggA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003112464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004836505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006999924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070261438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aggB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004907555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06372549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000737442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
