vOTU	Length	Length_kbp	GC	phylum
vOTU00003	56467	56.467	50.99	Proteobacteria
vOTU00005	34016	34.016	30.41	Proteobacteria
vOTU00011	76431	76.431	53.61	Proteobacteria
vOTU00012	28972	28.972	44.4	Proteobacteria
vOTU00017	32249	32.249	51.51	Proteobacteria
vOTU00021	31551	31.551	49.76	Proteobacteria
vOTU00027	35649	35.649	36.85	Proteobacteria
vOTU00030	172049	172.049	30.53	Proteobacteria
vOTU00031	71431	71.431	46.16	Proteobacteria
vOTU00032	52967	52.967	58.05	Proteobacteria
vOTU00033	16131	16.131	31.71	Proteobacteria
vOTU00034	51339	51.339	30.14	Proteobacteria
vOTU00035	40536	40.536	39.16	Proteobacteria
vOTU00036	32078	32.078	41.85	Proteobacteria
vOTU00040	4952	4.952	40.87	Proteobacteria
vOTU00043	75729	75.729	50.76	Proteobacteria
vOTU00045	31212	31.212	59.34	Proteobacteria
vOTU00055	104830	104.83	43.97	Proteobacteria
vOTU00062	45399	45.399	55.31	Proteobacteria
vOTU00064	44391	44.391	56.87	Proteobacteria
vOTU00066	33379	33.379	29.14	Proteobacteria
vOTU00068	27322	27.322	42.67	Proteobacteria
vOTU00069	103326	103.326	36.69	Proteobacteria
vOTU00072	49980	49.98	33.72	Proteobacteria
vOTU00076	33720	33.72	50.5	Proteobacteria
vOTU00078	39315	39.315	58.6	Proteobacteria
vOTU00079	72550	72.55	53.49	Proteobacteria
vOTU00083	23965	23.965	56.2	Proteobacteria
vOTU00087	63251	63.251	44.14	Proteobacteria
vOTU00088	40073	40.073	48.95	Proteobacteria
vOTU00089	22271	22.271	60.08	Proteobacteria
vOTU00090	17747	17.747	42.91	Proteobacteria
vOTU00091	37398	37.398	58.15	Proteobacteria
vOTU00095	51462	51.462	52.07	Proteobacteria
vOTU00099	17896	17.896	63.09	Proteobacteria
vOTU00100	19288	19.288	43.51	Proteobacteria
vOTU00105	37136	37.136	37.24	Proteobacteria
vOTU00111	48997	48.997	49.19	Proteobacteria
vOTU00121	28827	28.827	52.25	Proteobacteria
vOTU00122	48417	48.417	47.56	Proteobacteria
vOTU00123	12742	12.742	49.43	Proteobacteria
vOTU00126	5018	5.018	42.31	Proteobacteria
vOTU00133	16717	16.717	35.35	Proteobacteria
vOTU00136	45855	45.855	52.1	Proteobacteria
vOTU00139	61415	61.415	48.74	Proteobacteria
vOTU00140	39857	39.857	43.34	Proteobacteria
vOTU00143	59608	59.608	44.93	Proteobacteria
vOTU00144	41225	41.225	46.38	Proteobacteria
vOTU00148	45086	45.086	55.45	Proteobacteria
vOTU00150	16003	16.003	45.68	Proteobacteria
vOTU00160	32686	32.686	50.56	Proteobacteria
vOTU00165	30735	30.735	59.31	Proteobacteria
